eTrappedCharge(C1(n71854_0s_des)) X,eTrappedCharge(C1(n71854_0s_des)) Y,eTrappedCharge(C1(n71854_1e-1s_des)) X,eTrappedCharge(C1(n71854_1e-1s_des)) Y,eTrappedCharge(C1(n71854_1e-2s_des)) X,eTrappedCharge(C1(n71854_1e-2s_des)) Y,eTrappedCharge(C1(n71854_1e-3s_des)) X,eTrappedCharge(C1(n71854_1e-3s_des)) Y,eTrappedCharge(C1(n71854_1e-4s_des)) X,eTrappedCharge(C1(n71854_1e-4s_des)) Y,eTrappedCharge(C1(n71854_1e-5s_des)) X,eTrappedCharge(C1(n71854_1e-5s_des)) Y,eTrappedCharge(C1(n71854_1e-6s_des)) X,eTrappedCharge(C1(n71854_1e-6s_des)) Y,eTrappedCharge(C1(n71854_1e-7s_des)) X,eTrappedCharge(C1(n71854_1e-7s_des)) Y,eTrappedCharge(C1(n71854_1e-8s_des)) X,eTrappedCharge(C1(n71854_1e-8s_des)) Y,eTrappedCharge(C1(n71854_1s_des)) X,eTrappedCharge(C1(n71854_1s_des)) Y,eTrappedCharge(C1(n71854_2e-1s_des)) X,eTrappedCharge(C1(n71854_2e-1s_des)) Y,eTrappedCharge(C1(n71854_2s_des)) X,eTrappedCharge(C1(n71854_2s_des)) Y,eTrappedCharge(C1(n71854_4s_des)) X,eTrappedCharge(C1(n71854_4s_des)) Y,eTrappedCharge(C1(n71854_5e-1s_des)) X,eTrappedCharge(C1(n71854_5e-1s_des)) Y,eTrappedCharge(C1(n71854_8s_des)) X,eTrappedCharge(C1(n71854_8s_des)) Y,eTrappedCharge(C1(n71854_16s_des)) X,eTrappedCharge(C1(n71854_16s_des)) Y,eTrappedCharge(C1(n71854_32s_des)) X,eTrappedCharge(C1(n71854_32s_des)) Y,eTrappedCharge(C1(n71854_64s_des)) X,eTrappedCharge(C1(n71854_64s_des)) Y,eTrappedCharge(C1(n71854_128s_des)) X,eTrappedCharge(C1(n71854_128s_des)) Y,eTrappedCharge(C1(n71854_256s_des)) X,eTrappedCharge(C1(n71854_256s_des)) Y,eTrappedCharge(C1(n71854_512s_des)) X,eTrappedCharge(C1(n71854_512s_des)) Y,eTrappedCharge(C1(n71854_1024s_des)) X,eTrappedCharge(C1(n71854_1024s_des)) Y,eTrappedCharge(C1(n71854_2048s_des)) X,eTrappedCharge(C1(n71854_2048s_des)) Y,eTrappedCharge(C1(n71854_4096s_des)) X,eTrappedCharge(C1(n71854_4096s_des)) Y,eTrappedCharge(C1(n71854_8192s_des)) X,eTrappedCharge(C1(n71854_8192s_des)) Y,eTrappedCharge(C1(n71854_16384s_des)) X,eTrappedCharge(C1(n71854_16384s_des)) Y,eTrappedCharge(C1(n71854_32768s_des)) X,eTrappedCharge(C1(n71854_32768s_des)) Y,eTrappedCharge(C1(n71854_65536s_des)) X,eTrappedCharge(C1(n71854_65536s_des)) Y,eTrappedCharge(C1(n71854_131072s_des)) X,eTrappedCharge(C1(n71854_131072s_des)) Y,eTrappedCharge(C1(n71854_262144s_des)) X,eTrappedCharge(C1(n71854_262144s_des)) Y,eTrappedCharge(C1(n71854_524288s_des)) X,eTrappedCharge(C1(n71854_524288s_des)) Y,eTrappedCharge(C1(n71854_1048576s_des)) X,eTrappedCharge(C1(n71854_1048576s_des)) Y,eTrappedCharge(C1(n71854_2097152s_des)) X,eTrappedCharge(C1(n71854_2097152s_des)) Y,eTrappedCharge(C1(n71854_4194304s_des)) X,eTrappedCharge(C1(n71854_4194304s_des)) Y,eTrappedCharge(C1(n71854_8388608s_des)) X,eTrappedCharge(C1(n71854_8388608s_des)) Y,eTrappedCharge(C1(n71854_16777216s_des)) X,eTrappedCharge(C1(n71854_16777216s_des)) Y,eTrappedCharge(C1(n71854_33554432s_des)) X,eTrappedCharge(C1(n71854_33554432s_des)) Y,eTrappedCharge(C1(n71854_67108864s_des)) X,eTrappedCharge(C1(n71854_67108864s_des)) Y,eTrappedCharge(C1(n71854_134217728s_des)) X,eTrappedCharge(C1(n71854_134217728s_des)) Y,eTrappedCharge(C1(n71854_268435456s_des)) X,eTrappedCharge(C1(n71854_268435456s_des)) Y,eTrappedCharge(C1(n71854_536870912s_des)) X,eTrappedCharge(C1(n71854_536870912s_des)) Y,eTrappedCharge(C1(n71854_1073741824s_des)) X,eTrappedCharge(C1(n71854_1073741824s_des)) Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0
0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0
0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0
0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0
0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0
0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0
0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0
0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0
0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0
0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0,0.0275,0
0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0,0.02775,0
0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027875001,0
